structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3
"Entorhinal area, lateral part, layer 3",0,0,0,0.457421875,0.412796875,0.87021875,0,0
medial forebrain bundle,0,0,0,0.016890625,0.016875,0.033765625,0,0
Nucleus accumbens,0,0,0,1.50971875,1.849625,3.35934375,0,0
Medial terminal nucleus of the accessory optic tract,0,0,0,0.015828125,0.015703125,0.03153125,0,0
Intermediodorsal nucleus of the thalamus,0,0,0,0.0629375,0.085890625,0.148828125,0,0
Anterodorsal nucleus,0,0,0,0.077640625,0.076984375,0.154625,0,0
Lateral terminal nucleus of the accessory optic tract,0,0,0,0.007484375,0.00778125,0.015265625,0,0
"Frontal pole, layer 1",0,0,0,0.08746875,0.074296875,0.161765625,0,0
Anterodorsal preoptic nucleus,0,0,0,0.036984375,0.041375,0.078359375,0,0
"Lateral visual area, layer 6a",0,0,0,0.073953125,0.071828125,0.14578125,0,0
Dorsal terminal nucleus of the accessory optic tract,0,0,0,0.004859375,0.004734375,0.00959375,0,0
middle cerebellar peduncle,0,0,0,0.372125,0.3675625,0.7396875,0,0
lateral ventricle,0,0,0,0.951375,0.917671875,1.869046875,0,0
"Prelimbic area, layer 6a",0,0,0,0.1893125,0.1783125,0.367625,0,0
Anterior hypothalamic nucleus,0,0,0,0.27634375,0.282234375,0.558578125,0,0
Interposed nucleus,0,0,0,0.28384375,0.28028125,0.564125,0,0
motor root of the trigeminal nerve,0,0,0,0.02203125,0.02221875,0.04425,0,0
Dorsal cochlear nucleus,0,0,0,0.1676875,0.152875,0.3205625,0,0
"Temporal association areas, layer 1",0,0,0,0.222671875,0.190671875,0.41334375,0,0
subependymal zone,0,0,0,0.05953125,0.05896875,0.1185,0,0
Interpeduncular nucleus,0,0,0,0.004203125,0.0060625,0.010265625,0,0
Ventral cochlear nucleus,0,0,0,0.25640625,0.232453125,0.488859375,0,0
"Superior olivary complex, medial part",0,0,0,0.091359375,0.089078125,0.1804375,0,0
Inferior salivatory nucleus,0,0,0,0.002984375,0.002625,0.005609375,0,0
choroid plexus,0,0,0,0.62696875,0.64803125,1.275,0,0
"Primary somatosensory area, lower limb, layer 2/3",0,0,0,0.234328125,0.2264375,0.460765625,0,0
"Superior olivary complex, lateral part",0,0,0,0.14121875,0.13428125,0.2755,0,0
Trochlear nucleus,0,0,0,0.004671875,0.00421875,0.008890625,0,0
optic chiasm,0,0,0,0.11134375,0.121046875,0.232390625,0,0
"Periventricular hypothalamic nucleus, intermediate part",0,0,0,0.073015625,0.06815625,0.141171875,0,0
"Agranular insular area, posterior part, layer 1",0,0,0,0.196421875,0.136859375,0.33328125,0,0
"Lateral visual area, layer 6b",0,0,0,0.013453125,0.01378125,0.027234375,0,0
"Superior olivary complex, periolivary region",0,0,0,0.157203125,0.152703125,0.30990625,0,0
Koelliker-Fuse subnucleus,0,0,0,0.06075,0.055625,0.116375,0,0
optic tract,0,0,0,0.28546875,0.282390625,0.567859375,0,0
"Periventricular hypothalamic nucleus, posterior part",0,0,0,0.0406875,0.042375,0.0830625,0,0
third ventricle,0,0,0,0.3039375,0.483953125,0.787890625,0,0
Lateral amygdalar nucleus,0,0,0,0.36890625,0.32296875,0.691875,0,0
"Prelimbic area, layer 6b",0,0,0,0.0088125,0.008078125,0.016890625,0,0
"Entorhinal area, lateral part, layer 5",0,0,0,0.491203125,0.446078125,0.93728125,0,0
cerebral aqueduct,0,0,0,0.20340625,0.243609375,0.447015625,0,0
"Nucleus ambiguus, ventral division",0,0,0,0.010421875,0.010390625,0.0208125,0,0
fourth ventricle,0,0,0,0.2993125,0.328328125,0.627640625,0,0
"Gustatory areas, layer 4",0,0,0,0.06059375,0.059671875,0.120265625,0,0
Paraventricular nucleus of the thalamus,0,0,0,0.18175,0.218875,0.400625,0,0
lateral recess,0,0,0,0.1371875,0.133234375,0.270421875,0,0
Lateral dorsal nucleus of thalamus,0,0,0,0.551203125,0.477046875,1.02825,0,0
"Dorsal auditory area, layer 6a",0,0,0,0.07665625,0.06690625,0.1435625,0,0
posterior commissure,0,0,0,0.022171875,0.026203125,0.048375,0,0
Anterior olfactory nucleus,0,0,0,1.83678125,1.601859375,3.438640625,0,0
"Agranular insular area, posterior part, layer 2/3",0,0,0,0.37375,0.267875,0.641625,0,0
Nucleus prepositus,0,0,0,0.178734375,0.1798125,0.358546875,0,0
"Prelimbic area, layer 1",0,0,0,0.17696875,0.21365625,0.390625,0,0
Retrochiasmatic area,0,0,0,0.058296875,0.057890625,0.1161875,0,0
